level,puzzle,answer
4,000804065080607000600100830463908027009416308805270600278041096396582001004769283,931824765582637914647195832463958127729416358815273649278341596396582471154769283
1,100004000040000700000003000002070000000000013000090000000200600009000207050001000,178524369543619728926783145392175486765842913481396572834257691619438257257961834
2,000000052000400007100300000000000040800000100050072000000100800000009000020005000,684791352293458617175326489967513248832964175451872963549137826716289534328645791
3,000059000800700020010028007102000640050000009603000870020067008700300050000015000,237659184849731526516428397172893645458176239693542871325967418761384952984215763
4,730089000100000043090010700002000800050007000000040050360000007001008020000065091,734689215186752943295413768412536879658297134973841652369124587541978326827365491
4,074002301060080902820900000400765800090010000280304506038120457109537068752846090,974652381365481972821973645413765829596218734287394516638129457149537268752846193
1,060100000007000003000009500590000000000040001020000000004810000000300000000000290,369157482157428963842639517591283746736945821428761359974812635285396174613574298
2,590003000000000000000000106004210000080000050000600000201000000300005090000040000,592163847416872539837594126654219783189437652723658914241986375368725491975341268
3,907000060000915700000070090020000030043029000000003150004837000060002000070000308,957348261682915743431276895825761439143529687796483152514837926368192574279654318
4,010008006500600900000200104005009400080070000000300050902060000800002060004030005,413798526528614973796253184675129438389475612241386759932561847857942361164837295
4,000000001000609000070000430700841925209063048001205000396010204507082369840036017,628354791134679852975128436763841925259763148481295673396517284517482369842936517
1,300000500000006080200700000084000010000900000000020000000000900010004000000030207,378419526491256783256783194984567312523941678167328459635872941712694835849135267
2,000000200000004800007039000060000000480100000000003070009000030020000000000800004,634518297295764813817239546763952481482176359951483672549621738128347965376895124
3,000000050800560007705040000020010500100008006089000041008000000000007460030204800,293871654841562937765943182326419578174358296589726341418635729952187463637294815
4,000700610002010040030000000090000000000605200000120007600000002800067009013000004,948752613572316948136984725291873456387645291465129387659431872824567139713298564
4,000008007590004000000200600059010024631840095702300000406573980073081206005629473,264938517597164832318257649859716324631842795742395168426573981973481256185629473
1,071003000000000060000400005300008000040000100500060000009001700600000004000000000,871653492425987361963412875312578649746239158598164237259341786637825914184796523
2,000090007012070400000800010506009080900006002004002036050300670008010000700200000,435691827812573469697824513526139784973486152184752936259348671368917245741265398
3,020000007000300800000105000300000050000000100090040000000020009007800002100000000,621498537745362891839175624314287956276953148598641273483526719957814362162739485
4,000802000070000015003000000809300000000000000000050007400000890000000000250070000,594812673678493215123765948819347526765281439342659187437526891986134752251978364
4,003070002020049800694210000008900615700000003035680794082000150376005428951004376,813576942527349861694218537248937615769451283135682794482763159376195428951824376
1,000060000007900500800040020100026000000700003008010040000000050005104360200070001,354267189627981534819543627193426875462758913578319246941632758785194362236875491
2,063000000000021008000000000800000000007400030000008500005370000000600000100000002,263849715479521368518763249851237496927456831346198527695372184782614953134985672
3,030500408004017000000000600002070050010900800300001009780002003200000000000390060,631529478824617935579483612962874351417935826358261749786142593293756184145398267
4,190080000004600000500200060005000040047003100800020037000500010001300700000006408,196485372724639851538271964315867249247953186869124537472598613681342795953716428
4,040100200030000000500020306400050902709063048106489750295807601807310005314096820,648135279932678514571924386483751962759263148126489753295847631867312495314596827
1,100000300004070000000050000060003000005000079000001080300006800097000000000000000,178469325654372918923158764861793542235684179749521683312946857497815236586237491
2,000090060470300001000008500258000000000050000000906010000070000010049700032000080,581497362476325891923618547258134679169752438347986215894273156615849723732561984
3,200000800410000030003201600030400009000093070500016000900000023004350700007000060,265734891418965237793281654136427589842593176579816342951678423624359718387142965
4,610740000400200001020000560900010000003000007000500900002070300000890420860000010,615748293439265871728931564987413652253689147146527938592174386371896425864352719
4,305000418708000259000058000540069783900280605800500102430615807651872904287394560,395726418768431259124958376542169783913287645876543192439615827651872934287394561
1,000060000007003900000020000003000000000000080091007000800000062030109000000000050,342968517567413928918725436783542691425691783691837245859374162236159874174286359
2,000009700008000003020006000210000900000030000000580004070000100000000000065040000,146359782758214693329876541213467958584931276697582314472698135831725469965143827
3,005407003000000000091203406028705604036108709000000000009801007073604802000000000,265417983384596271791283456928735614536148729417962538659821347173654892842379165
4,005000800006200000000008007000400020080000003700600000000010000004000060030007000,325791846876254931941368257563479128489125673712683495297516384154832769638947512
4,030001020800000050910042086000105600780926030050403070146230790500710862278059413,435861927862397154917542386329175648784926531651483279146238795593714862278659413
1,000005000000000701600203000800000320000000000040070009000600030079000000010000000,981745263234986751657213498895164327762839514143572689428697135579321846316458972
2,000000000060100200003080090007000040010206000000500000000040079250000000000000000,871429365965137284423685791597318642314296857682574913136842579259761438748953126
3,002070003900201040050030100205000016060000700070000800100908060090010400008050001,612574983937281645854639172285497316461823759379165824123948567596712438748356291
4,000430000800000590020000000014200000000000000000005800000000000503008000007000014,175439286846721593329856471914287635658394127732615849461972358593148762287563914
4,000800900103002000000006007031040082945620031780500000290175360010983275057064809,564817923173492658829356147631749582945628731782531496298175364416983275357264819
1,008000003013000502500100040820601000001050600700008000160035200000070010087200065,948562173613487592572193846825641739431759628796328451164935287259876314387214965
2,700400000000000090000001030003000080060700000000100400005003600100000700000009000,739425168612387594584961237273546981461798352958132476845273619196854723327619845
3,006070005095008601800605000003000007400810030500067040078100209000706000004080006,236971485795438621841625793183254967467819532529367148678143259352796814914582376
4,003009010000800400020140096040012050005090000000006007068907020050060008900200000,483679512691825473527143896846712359275394681139586247368957124752461938914238765
4,100005000050800304026740000002000950480002007569317842031076295675023481090158036,148235679957861324326749518712684953483592167569317842831476295675923481294158736
1,000030002000010000067000000000000950300020000000000600400000001090807000050006000,849635172532714896167982345724361958386529417915478623478293561691857234253146789
2,950000000001020590008006040800060000000030004079000350000000402004500070097080010,952174863461328597738956241843765129516239784279841356185697432624513978397482615
3,000060000200934080060507400006000035430056970150003864900308040603015098080609300,374861259215934687869527413796482135438156972152793864921378546643215798587649321
4,000045306100306020000100090000000000734001200900070435603014000010200000080590100,278945316159386724346127598825439671734651289961872435693714852517268943482593167
4,000010008200000000500000400000070004600231980702469531076583209801946305035120840,349612758268754193517398462193875624654231987782469531476583219821946375935127846
1,003000000009053000000260010000000000000008060004009000600000005100800000000004009,263981457719453826458267913376145298921738564584629731647392185195876342832514679
2,200000006500000000000080090000002000600504000030000980000400005091000300000000000,289153476573946128146287593917832654628594731435761982362479815891625347754318269
3,609200500010007003802000000390106800008034060000000000007060108000000206100002050,639241587514987623872653419395176842728534961461829735247365198953418276186792354
4,301400000000006750000000000970000800000100002040000000000000000000078000005000013,351497268824316759697825134972653841538149672146782395269531487413978526785264913
4,500082400860075001004000005607903102000008093200041807138000729945217360026039504,519382476862475931374196285687953142451728693293641857138564729945217368726839514
1,060107009810400060200090810008004106104060900900230040000500600001002000090000004,563187429819425367247396815728954136134768952956231748372549681481672593695813274
2,000000000040050008003600100570020000020090000000000600008000000000000027006300000,867134259142759368953682174579826413621493785384517692718245936435961827296378541
3,050600000000020800000007926100000004030760000000308700528030000060009000000200400,952684371716923845843157926187592634234761589695348712528436197461879253379215468
4,020153094000000000405000060800001002090020680070005000038009000050000026200040000,627153894983476251415892367846931572591724683372685419138269745754318926269547138
4,200000000063100000090800740046002500728300090519046308854271936001500007902638410,287459163463127859195863742346982571728315694519746328854271936631594287972638415
1,007000830000900000050201000708090000000005001000000000003084000000000000010000002,127456839634978125859231467768193254392845671541627398273584916986712543415369782
2,901030060000000000080965040000000000865000000002800034200004007000000000076082405,921437568654218973387965241413729856865143729792856134238594617549671382176382495
3,900000001000000000030024000000080620100500000000000007028000300000000000000901005,942356871657819432831724596495187623173562948286493157728645319519238764364971285
4,000700086000030000905081040407000069000900007009010000000100000308070000700608051,143759286872436915965281743437825169281964537659317428596143872318572694724698351
4,000010809040090007500000060310460978900107243472039605060020580258701390139685024,627514839843296157591378462315462978986157243472839615764923581258741396139685724
1,000000800203004000000001090000080000006190000007000004000005002090000040000300000,419736825283954761765821493152487639846193257937562184378645912591278346624319578
2,050900000000002070000000000000530400807000010000000600200071000000000000060000905,652987134914352876378146259126538497847269513539714682295471368483695721761823945
3,000040170004300008520001000030007500000500001900060000093800000000006807200050040,389645172714392658526781439832917564467523981951468723693874215145236897278159346
4,082000006100038900540000080007000500000040071850070000010000804700000019008020060,982751436176438952543962187467213598239845671851679243615397824724586319398124765
4,006780020040200003201000000065002938082395476009648010908453700010007050753916042,536789124847261593291534687465172938182395476379648215928453761614827359753916842
1,106000035090400708500600000720103000003074010400000090030700100004020050015006003,186297435392415768547638921729163584853974612461582397238759146674321859915846273
2,020000069000308000000000000000090000703000400008010000004000005090060000000700800,825174369469358127371926584216493758753682491948517632684231975197865243532749816
3,080002500003400060700000000007008250000030000490600003050800600100005007000000010,984762531523419768761583429637198254815234976492657183359871642146325897278946315
4,740030000000000809000000000009500600000040070050000000400800000000906000020000030,748239561263175849591468327379582614682341975154697283415823796837916452926754138
4,709080000080403065500020030203860009000100043691500287010008374475316092328709156,739685421182473965564921738243867519857192643691534287916258374475316892328749156
1,800002000600000000000050100001009000000008020005000400004030000000010080200000060,819472653653981742742653198421569837376148925985327416164835279597216384238794561
2,000003070400017060000040029500401090020000003009025700013700000006104200008006000,895263174432917865671548329587431692124679583369825741913782456756194238248356917
3,070020000020015300005000100000050000400700210000000897040007009130090600008260000,371426958824915376965378124719852463486739215253641897642187539137594682598263741
4,070000500000000000000091000000600004000000009056700000000208600901000003004000000,379426518812375946645891237193682754728154369456739182537248691981567423264913875
4,000020060430007150900000000060081245305046879840759601080090423200138700690472510,571823964438967152926514387769381245315246879842759631187695423254138796693472518
1,000010000000080500030000020900000100000204060000000000105090000800000000000006032,659712384214683597738549621972865143581234769346971258125398476863427915497156832
2,040760000000803510060000000000504730007000045003000000009080067000009400010620008,845761923972843516361952874628594731197238645453176289239485167786319452514627398
3,006001800047000000300580009005013007760000000000000020000000065003705900400060008,596471832847932651312586749925613487768254193134897526279148365683725914451369278
4,000060020000000800905070000004000007000008000500102000021000000000004000000050009,143869725762415893985273461214536987396748512578192634421987356659324178837651249
4,002006010000500030900007000000000106085002407001904358254168973793240860108739005,532486719847591632916327584479853126385612497621974358254168973793245861168739245
1,030000200700256000009807006006500024020000175800040000060000098000020400100609000,635491287781256943249837516916573824423968175857142639562314798398725461174689352
2,700510020000900003050007004006000300001000047230000900300068070020004000070300002,764513829812946753953827164496172385581639247237485916349268571125794638678351492
3,090004700070000030002900604100090080000700000400086090051300800008010006200000001,895634712674125938312978654167293485589741263423586197751362849938417526246859371
4,000203040003008002010070800500000190820000060006050008070020400004700009900406080,685213947743598612219674835537862194821947563496351278378129456164785329952436781
4,080000670000015000000003090458020010063000050297801340619530800342178960075962004,581249673936715482724683591458326719163497258297851346619534827342178965875962134
1,008032007009004100300700000030006500400000600900050010800070006000800400005061008,168532947579684123324719865732146589451398672986257314813475296697823451245961738
2,600000500003009040000000000000004032800600000010000090039000000000000000000700806,647312589183569247925478361576984132892631754314257698739826415268145973451793826
3,000805000073000600010000000000070100280400009000000000000000080500000024060030000,692815473873942651415763298359678142286451739741329865124597386537186924968234517
4,000460008000023000070500340703000682851000003002000157007290000000804000490030020,539467218184923765276581349743159682851672493962348157617295834325814976498736521
4,208000000000000170000304060000408293025073000049601500780240306562137948090586701,218765439634892175957314862176458293825973614349621587781249356562137948493586721
1,300000001009406800000500002005000400000000600020010000000020003700000000004000000,356278941219436875847591362675382419193745628428619537561824793782963154934157286
2,000908400025000000000000600900000800007030020000000000010020050400006000000004030,763958412825641793194273685932165847687439521541782369316827954459316278278594136
3,000700680008050007096080001000040005104500820050000000009060130300008500060090000,435719682218653947796284351683942715174536829952871463529467138347128596861395274
4,007058000000006000090000023000005000040000000230000010000000800000200040006000500,627358194314926758895741623761435289549812367238679415972564831153287946486193572
4,050000280700604009008000300030540061940870002067310090270950610319400820685231047,156793284723684159498125376832549761941876532567312498274958613319467825685231947
1,000090006200000010007400008130000000000800704000000000054000000000000000000021030,583197246249386517617452398138574962962813754475269183754938621321645879896721435
2,000000001008020000000300009000000200107000000000050600050000840000700000030109000,472596381398421756615378429569813274187264935243957618951632847826745193734189562
3,040000100000050007000030000005000000000004000000006904000000010060209000700000035,348967152692451387157832496425793861976184523831526974284375619563219748719648235
4,000007060000000000510000800004000070090810000000030000000000340000000001706002000,849357162673281495512469837184925673397816254265734918921578346458693721736142589
4,008001052300064000067900040000000018702006030149358207950007020804623195601549783,498731652315264879267985341536472918782196534149358267953817426874623195621549783
1,000200008200090070317008500100060050000800003894003200500029780000010020000080030,965237148248591376317648592173962854652874913894153267536429781789316425421785639
2,000000018002050000005009000100000000000000760840300000000002000300000004006070900,934267518782451396615839472169725843253984761847316259598642137371598624426173985
3,000931080081000004000800001260710000700000006000060093800000560400070000020685000,574931682381256974692847351269713845735498126148562793817324569456179238923685417
4,009206000005000000000000704000500020410000000700800000000070006300000000008000090,879246351645731982231985764986517423412369578753824619594172836327698145168453297
4,103000840004030020000450370000504230469307008350016794895673412240981063031045907,123769845574138629986452371718594236469327158352816794895673412247981563631245987
1,000040000008005001020000600000000007000018005930000000005000000000000300000300920,613742589498635271527891643854263197762918435931574862385429716279186354146357928
2,000000000000030100070200000000708050104000600000000090003061000000000000090000027,418695732562837149379214865936748251154329678287156493723561984845972316691483527
3,000600000000308000010000200000060400003900000700000100000000030040010005006000080,457621398692348517318597246985162473163974852724835169571286934849713625236459781
4,002740900018600000590000008003079020070060000000004700700000609060200080000900370,632748915418695237597321468143879526975162843286534791721483659369257184854916372
4,000000007600100000082000900150846320030591004900700016465010790379054082820370460,513982647694137258782465931157846329236591874948723516465218793379654182821379465
1,000000903010040000000000600000020010003506000009800000000009000020060000040000020,482651973617943258395782641864327519173596482259814736538279164721468395946135827
2,820004000040003000000100540030000026009000000600070008081000000260400300000056000,825794631146523879973168542738945126419682753652371498581237964267419385394856217
3,400085007005000010070200500004029050007014090020000600200073006008000070040800300,432185967685937214179246538814629753567314892923758641291573486358462179746891325
4,000040000090802300400003006000000100500090064080600050009020600020016000700000410,263749581195862347478153926642385179537291864981674253819427635324516798756938412
4,081209400007300500002000003090625381526810047000007000079564138645030729810900604,381259476467381592952746813794625381526813947138497265279564138645138729813972654
1,070000650000000300000802000008000002004000000050030000000150000009000000802000009,271493658986517324435862917198675432324981765657234891743159286569728143812346579
2,030060000000000800000100400400000200000010006009030000000800000700400009010000003,834765921591342867672189435453976218287514396169238754345891672726453189918627543
3,400007000050010000069300070001060700003200508005008400000090005700002903000400020,438927651257614389169385274841563792673249518925178436382796145714852963596431827
4,000600073006001800000800400000014000002030604370008020100090030703500000045100000,581642973496371852237859416659214387812735694374968521168497235723586149945123768
4,140090075506200800020000030470109603030860712000750400361002589059086124284000307,143698275596237841827541936478129653935864712612753498361472589759386124284915367
1,000400590530209000004000000000000000027060840460008205000380970980600000000050004,712436598538279461694815723859124637127563849463798215245381976981647352376952184
2,006000704000000000300280000097006000004000000000050030000020000200000080000007009,186593724942671853375284691897346512534812976621759438763928145219465387458137269
3,000060007100000006000809000000400200000000800600070000028000000000050001004000900,832564197195723486476819352351486279247195863689372514728941635963258741514637928
4,070040010006500700300082500708304260060000000000000007600230400400007090003050002,572946318846513729391782546758394261269175834134628957617239485425867193983451672
4,400000201003800000925070006234069850501000009006730412649580103708000965302010748,487653291163892574925471386234169857571248639896735412649587123718324965352916748
1,900000021050703000000000060040000700000002000000010000000500400680400000200000000,967854321152763948438291567341685792879342156526917834713526489685479213294138675
2,020007000000000030005000090000390000000500010070000200000006800002000700003100000,921437568467859132835261497518392674246578319379614285194726853652983741783145926
3,009000280346070100000000007005903070460007000000100806000040798500000000091000040,719635284346872159258419367185963472463287915927154836632541798574398621891726543
4,000427000000001060070000000003009046705064300004000008650000200000106709087002030,136427895528931467479658123813279546795864312264315978651793284342186759987542631
4,809005000000000040036120700302601895400570200050289007700908054960410300184357062,849735621217896543536124789372641895498573216651289437723968154965412378184357962
1,300000000800005000000600070007400000100000500000000308000003001002900000004000060,376192485841375692925684173257438916183269547469517328698743251712956834534821769
2,000900000480000000000500107000086000001000009200040000000000200000000640007300000,712938564485617392396524187954286731861753429273149856638491275129875643547362918
3,000509000800000003000006100000000900400000020300670000095000000000030007020000000,234519768861724593957386142582143976476895321319672485195267834648931257723458619
4,065012008000000409080060000700000046006001000040680001200095000007800010001000005,465912738172358469389764152718239546926541873543687291234195687657823914891476325
4,020930800009062450010000000843690270001470060097200508465809137130000920972340680,524937816789162453316584792843695271251478369697213548465829137138756924972341685
1,000801007000000000002000000006000000000007108209050000000000090080004003000090020,593861247768432519142579386876143952354927168219658734627385491985214673431796825
2,200000090000000000000360800060000300001002007000800000000009012730050000000000000,243518796678924135915367824462175389381692457597843261854739612736251948129486573
3,000070100000006090740000005001200004002300009090500030060010000005000820900003000,653972148128456397749138265531297684872364519496581732264815973315749826987623451
4,000004090000060000700000030200000605000000800400700000008000200006050000000300010,612534798893167452754892136281943675379625841465718923538471269146259387927386514
4,600090000000008005040000100070900050006205300320187694412769038058423701063851009,681594273237618945549372186174936852896245317325187694412769538958423761763851429
1,000010003020900000086000000000600000700000004090200500400070000000000280300000000,947512863123968475586734192234695718765381924891247536412876359679453281358129647
2,000050481000800000000700039040280070900000000500630000100006904050000006000000017,762953481395841762814762539643289175928517643571634298187326954459178326236495817
3,000006002090000400010050000200000000000907010600000050000100000400200008000000060,748316592596782431312459786271635849854927613639841257987164325465293178123578964
4,000000000305100000000040087001000650000008000000009000000600500040000100080007000,428976315375182469619345287891734652263518794754269831937621548542893176186457923
4,000008200100470060003005000020759000065301024800040910608903507072864103304510682,746138259159472368283695471421759836965381724837246915618923547572864193394517682
1,401000000000000000900038020080000030006400000000020000000000100000500406030070000,451267398823945761967138524284751639376489215519326847645892173792513486138674952
2,010008306025000010000200007004850060000030100086007000000072400000600075900000000,417598326825763914693214857234851769759436182186927543568372491341689275972145638
3,000000000401000620008562000205090406706400809000005000000378200000000000087000104,692134587451789623378562941235897416716423859849615372164378295523941768987256134
4,009000501040010070080605000000002900060900000010000600630000020000306708002080100,329847561546219873187635249873162954264958317915473682638791425451326798792584136
4,600020730500400010100000000051090206200800400439700008025140367314576982786039500,648921735572483619193657824851394276267815493439762158925148367314576982786239541
1,904050000570008000800240000480000560009002800050004003000600058000005270000780090,924356187573918642861247935482173569739562814156894723317629458698435271245781396
2,000004000970060000000030560087310045030000000020000080010708000000200100260000700,356824917972561834841937562687319245135482679429675381513798426798246153264153798
3,508000400000800051030010200700036000000028005060700020004001090003000502650900080,518279436472863951936514278725436819349128765861795324284351697193687542657942183
4,000300056000400002009070800750000649040000007893000021060002000008030100930006000,417328956385469712629571834752813649146295387893647521561782493278934165934156278
4,600000340910200780003006015104927658000301000500040020780009034249860570351002069,678195342915234786423786915134927658862351497597648123786519234249863571351472869
1,601023000000000703020000000009000800200060030008300070003008900000000500750910008,681723495945186723327459681139247856274865139568391274413578962892634517756912348
2,000000000800640300000002005000000680025001000000000000001000002007000000400860000,254738196819645327376192845793524681625381974148976253981453762567219438432867519
3,000010000890000000000045200005002000000000090000800076004000100068709000000000000,542618739891237645736945281675392814483176592219854376924583167168729453357461928
4,530042000001053020020800503143500206760300905005000030350900400000431050014065390,539642178481753629627819543143597286768324915295186734352978461976431852814265397
4,070000200004186790800200050038047002600901500901053000365408100409702360712305849,176539284254186793893274651538647912647921538921853476365498127489712365712365849
1,000008000000046070052000300000900500006000000400000001000000060090007000010500000,764358219931246875852179346173962584526481793489735621245893167398617452617524938
2,000005000080007000030000901000030080005000700600010000000040003006000000007009000,461395827589127364732486951974532186815964732623718495298641573156873249347259618
3,000007900007000002032600001090700030400008000000050009006040000800000200200500690,681327954947815362532694781198762435425938176763451829376249518859176243214583697
4,200314089081000007000000000050003020600001000900020705100000072405009000020080000,276314589381592467594867231857943126642751893913628745168435972435279618729186354
4,000000420000003008005100000573602809009000170012040560906408731340579280287301950,138796425794253618625184397573612849469835172812947563956428731341579286287361954
1,002006000860000210000057900638000000000804000000000865000500400104000059009420000,792186534865349217413257986638915742257864193941732865376591428124678359589423671
2,065000200000012350000000007000009000074060190210003000003495000000001003000000600,165374289748912356932856417586129734374568192219743568623495871457681923891237645
3,100800000000002900050000060030560000000000702000000000000900050209003000700000000,126895473378642915954371268832567194561439782497218536613924857289753641745186329
4,010700062030020500009000100000170030860203000000096210900600020026010070100000003,415789362638421597279365184592178436861243759743596218954637821326814975187952643
4,830105094090000000000030028400502870927300615050600243082750961671093400040001387,836125794295487136714936528463512879927348615158679243382754961671893452549261387
1,670000000000000000000300200000057000002090400008000000004203000050000076000800000,671524983325789614489316257936457128712698435548132769864273591253941876197865342
2,008000000000406000035000090000007201400000000009030000000058000200000600100000007,748593126912486375635172894863947251471825963529631748396758412257314689184269537
3,000280000000010000760000900000500260000000000038000000040000083000000010500900000,395286471824719356761354928917538264456192837238467195149625783672843519583971642
4,800004000700352000020870000054000010300000507060140008000003020000290006000561090,839614275746352189521879364954738612318926547267145938695483721183297456472561893
4,060502007090040000702801000209004056310907000504086930007638012035100408128475693,463592187891743265752861349289314756316957824574286931947638512635129478128475693
1,000000500080200000000000360000007000000056800040000009000408007003000002500000000,714693528386215794952784361639847215127956843845321679261438957473569182598172436
2,000800000107000000000650090050090000000001704000000200004072000000000000060005080,596814327187329645243657198452793816938261754671548239814972563325486971769135482
3,000000097007004100080010030702800509000005000059060820006009200800500001240000000,521638497637954182984712635762843519418295376359167824176489253893526741245371968
4,060021000400070003902005000620804030000000000700093620000708300000002087008500040,367421895485679213912385476621854739893267154754193628549718362136942587278536941
4,000068010000000070016503004800029007009001068743050192038410925495682730127035046,374268519582194673916573284861329457259741368743856192638417925495682731127935846
1,000360050410000000000000000000500000006070030020084000000000100005600000000000402,782361954413957628659428713891536247546279831327184596264893175175642389938715462
2,000001006004000008009030000600700000100000000000040290500006000000500007000000040,853971426714265938269834175642719853198352764375648291587426319421593687936187542
3,003504090080000500700080006006407010004208070300090008008902060500010009060000700,613524897289671534745389126896437215154268973327195648478952361532716489961843752
4,000000090007000001003048000000000000008007400020900006690000000010000000000003500,146372895287569341953148627739486152568217439421935786694851273315724968872693514
4,060008020109030040000050000480000010521086973306175082608094237235067190974010050,763948521159632748842751369487329615521486973396175482618594237235867194974213856
1,000000000000007042013500000200008050000000000006000100005160000000300000400000007,924836571658917342713542968241698753397451826586723194875164239162379485439285617
2,000000020008000007500430000400000500030000000000007090097008000002000000000040600,964871325328695147571432968489216573735984216216357894697528431842163759153749682
3,000000570082030000003000000009820000000000008700000040600107000000000002000004000,416982573582731496973645821349826157251479638768513249625197384194358762837264915
4,040000605630091000100040030000050008800003000002000090760000300000078401004009002,947382615635791824128546937316954278879213546452867193761425389293678451584139762
4,000080000006007200100500000050900407978405316203016000060051739007093842839200651,725389164396147285184562973651938427978425316243716598462851739517693842839274651
1,300060000002000807000000040560000009900000000000400000008000000000095000004700020,375864912412953867689127345561382479947516238823479651258641793736295184194738526
2,020000000610000900000085000000000003007004080090600000003000070005000004000102000,524916837618743925739285416452891763367524189891637542283459671175368294946172358
3,002100095000400060950070001870000000000000504005030080001008000080040602049002018,432186795718495263956273841874529136693817524125634987261358479387941652549762318
4,008000090007601000000000004006800100000000000300040050450000000900000000000700200,638425791247691583195378624526839147784516932319247856451962378972183465863754219
4,009000200500070060008000000721000000653040009084261357135687942040903801097402536,479536218512879463368124795721395684653748129984261357135687942246953871897412536
1,000000000000600005017002000040070000500000069002031000000000300900800000000000100,495183672328697415617452983849576231531248769762931854156729348973814526284365197
2,000000089001000000602050000000010200000080070340000000005000600000400007000309000,754236189931847526682951743568713294219684375347592861495178632823465917176329458
3,700000009190408000002000010800630140030000007007105800000560301060000500004000090,745316289196428735382759416859637142631842957427195863978564321263981574514273698
4,010800000800000062060030040007000600030005908201006030000040080620000007070100090,512864379843579162769231845987423651436715928251986734195647283624398517378152496
4,092000000740000560000108000809405003030761200601080000517930428984012006263047095,192654837748293561356178942879425613435761289621389754517936428984512376263847195
1,000028000000000000970000005000000000008604000040700009000000200030000840100900000,613528974854379162972461385796213458528694713341785629465837291239156847187942536
2,070506000032000100000000090001400000009000000060700005080000007000012000000000000,178596342932874156546123798721459863359268471864731925283945617697312584415687239
3,010073040004080050200900000109807000700039500000450970000048007000100800003006010,618573249974682153235914768159867324746239581382451976521348697467195832893726415
4,000000000302050000000600980400003002080000000000000067090800000000000400700000003,859471236362958714174632985416793852287516349935284167693847521521369478748125693
4,650100090080300040074020000468902300735041020002703800500609081006410975819275463,653184792281397546974526138468952317735841629192763854547639281326418975819275463
